Museum,Cat,Country,State,Locality,loc,Lat,Long,Taxon,sub,Juv,Sex,Wing,Tail,Tarsus,length,low_len,depth,width,brightness,hue,chroma,Notes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
MCZ,169908,Honduras,,Alto Cantoral,4,,,griscomi,5,0,1,165,176,43.5,21.5,17.8,10.8,10.1,-4.2235,-2.8109,-1.0111,,19.625,28.684,31.0805,29.8545,26.737,22.87,19.3455,15.809,12.6905,10.3655,7.918,6.501,5.1785,3.638,2.8415,0.695,-2.9395,-6.648,-15.343,-26.968
MCZ,169909,Honduras,,Alto Cantoral,4,,,griscomi,5,0,1,166,170,43.2,22.4,20,10.7,9.6,2.3176,-3.5613,0.4616,,33.15,44.5665,46.6505,44.1175,39.4545,33.72,28.2705,23.277,19.1175,15.82,12.8745,11.096,9.6265,7.8235,6.5305,4.198,0.713,-3.57,-12.2685,-23.748
MCZ,169910,Honduras,,Alto Cantoral,4,,,griscomi,5,0,0,167,173,43.3,22.6,20,11.5,10.5,0.2017,-3.6708,1.1466,,32.9745,43.7635,45.012,41.7495,36.3105,30.156,24.7775,20.0685,16.095,13.113,10.368,8.8255,7.618,6.2025,5.1545,3.024,-0.2635,-4.181,-13.444,-23.766
MCZ,169911,Honduras,,Alto Cantoral,4,,,griscomi,5,0,1,161,164,40.1,21.4,18.9,10.5,9.6,-4.53,-4.3378,-1.0312,,17.407,29.191,33.689,33.56,30.459,26.047,21.44,16.9085,13.053,9.9365,7.0315,5.288,3.759,2.1045,0.8775,-1.295,-5.187,-9.121,-18.523,-30.3995
MCZ,169912,Honduras,,Alto Cantoral,4,,,griscomi,5,0,0,161,169,43.5,21.6,19.2,10.5,10,-0.1002,-3.6701,0.7794,,28.4985,41.728,44.702,42.2775,37.2985,30.9845,25.37,20.255,15.9135,12.9205,10.1915,8.4655,7.1715,5.7265,4.3815,2.1515,-0.603,-3.701,-11.206,-21.056
MCZ,169913,Honduras,,Alto Cantoral,4,,,griscomi,5,0,0,170,175,42.3,22,19.1,10.6,9.5,-6.2749,-3.7497,-0.7526,,17.148,27.2165,30.421,29.2415,25.824,21.426,17.365,13.5055,10.346,7.985,5.607,4.2285,3.0535,1.497,0.212,-1.9205,-4.984,-8.934,-17.9425,-31.06
MCZ,169914,Honduras,,Alto Cantoral,4,,,griscomi,5,0,0,167,171,42.6,20.9,18.5,11,10.5,-0.3103,-3.9456,0.8465,,30.172,41.8525,44.114,41.919,36.8255,30.6775,24.9525,19.841,15.6875,12.768,10.0695,8.3675,7.153,5.377,4.168,2.127,-1.6265,-4.7185,-12.765,-23.954
MCZ,265274,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,,164,165,41.3,22.9,19.9,10.2,9.8,1.8927,1.3144,-0.4297,,24.3985,32.8035,35.593,35.3045,33.0915,29.855,26.0535,22.0595,18.423,15.557,13.037,11.3815,10.294,9.591,9.034,8.8345,8.4645,7.8995,7.2075,5.487
MCZ,265275,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,0,173,174,41.4,21.6,19.4,10.4,9.6,-1.9139,-0.0247,-0.5603,,20.2785,29.2975,31.583,30.762,28.14,24.6235,20.8755,17.261,14.2575,11.864,9.6395,8.4145,7.495,6.626,5.744,4.532,3.4255,1.87,-0.909,-4.4535
MCZ,265276,Honduras,,"Mount Pucca, Gracias",2,,,griscomi,5,0,0,176,169,43.9,22.2,19.3,11,10.2,-1.6595,-3.2696,0.6647,,25.6115,37.121,40.0575,38.788,35.2535,30.0045,24.461,19.3575,14.933,11.546,8.59,6.6655,5.343,4.003,2.7275,1.1085,-0.7105,-3.16,-7.4155,-12.149
